Uitvoeringstijd
2.615031
2.553305
2.235896
2.636505
2.563488
2.323081
2.750635
2.131226
2.511046
2.383410
2.549899
2.339287
2.960160
2.336163
2.480816
2.819941
2.441039
2.633561
2.479621
2.308354
2.340233
2.492513
2.549997
2.098603
2.112857
2.419977
2.955032
2.236664
2.443850
2.343177
2.546515
2.054710
2.257586
2.719410
2.162146
2.517169
2.958727
2.437777
2.240155
2.654667
2.808177
2.778220
2.455441
2.239878
2.360022
3.058426
2.724940
2.452585
2.336979
2.654208
2.914079
2.350258
2.674083
2.520279
2.339749
2.141307
2.339246
2.465617
2.519506
2.238522
2.238082
4.800547
2.342281
2.315805
1.957362
2.660452
2.642027
2.731312
2.277766
2.419783
2.368743
2.416762
1.987895
2.387900
2.347335
2.259856
3.170175
2.314246
2.446664
2.126037
2.040126
2.642174
2.248996
2.229063
2.344596
2.325457
2.287043
2.409942
2.557243
2.534828
2.435210
2.342227
2.956651
2.253821
2.503239
2.684468
2.672082
2.103233
2.367789
2.628453
2.567445
2.213382
2.557194
2.395697
2.278773
2.032080
1.837281
2.338250
2.338858
2.880713
2.621635
2.224370
2.245980
2.749801
2.454243
2.434942
2.560036
2.422288
2.182350
2.611918
2.234132
2.435198
2.441816
6.436375
2.543286
2.542808
2.449857
2.329266
2.342107
2.750183
2.350319
2.326034
3.065935
3.066446
2.433660
3.697742
2.668935
2.329697
3.488748
2.430267
2.664041
2.112045
2.284069
2.001891
2.561278
2.218368
2.136711
2.536417
2.249459
2.240475
2.141836
2.246474
2.231789
2.440289
2.645131
2.034539
2.440651
2.545540
2.236861
2.241610
2.050604
2.426265
2.062807
2.424180
2.536522
2.340222
2.546451
2.612231
1.969709
2.133394
2.339327
2.443014
2.650565
2.250486
2.554956
2.456477
2.413326
2.333303
2.544777
2.241785
2.031658
2.443528
2.341888
2.822783
2.884376
2.259554
2.222048
2.338444
1.932350
2.546001
2.168890
2.415376
2.741261
2.143118
2.958953
2.443382
2.178960
2.565402
2.739582
2.828258
