Uitvoeringstijd Fission
0.020303
0.007797
0.511930
0.008933
0.007859
0.008406
0.009075
0.010459
0.008180
0.007886
0.009017
0.008560
0.008850
0.007882
0.007615
0.008902
0.008053
0.008862
0.008650
0.008768
0.008086
0.009398
0.007490
0.262553
0.007627
0.008434
0.008593
0.009018
0.007748
0.008859
0.009913
0.009031
0.010202
0.008420
0.008502
0.010738
0.008776
0.009356
0.021684
0.010481
0.010019
0.018809
0.010842
0.010018
0.008057
0.008962
0.008561
0.008031
0.008069
0.009674
0.008437
0.008814
0.008680
0.008377
0.008653
0.007617
0.008232
0.008818
0.014328
0.009141
0.007596
0.008765
0.009064
0.008311
0.008908
0.008174
0.008362
0.008420
0.008516
0.007769
0.007910
0.008663
0.010000
0.007660
0.008079
0.008632
0.008870
0.007967
0.007936
0.009084
0.012559
0.009434
0.008943
0.010172
0.008957
0.008742
0.009552
0.010355
0.008358
0.011212
0.009102
0.008535
0.011143
0.008631
0.008023
0.008559
0.009327
0.008478
0.008980
0.009664
0.008941
0.008764
0.008461
0.008911
0.007791
0.007858
0.008202
0.008920
0.009047
0.008930
0.008368
0.009191
0.008117
0.008285
0.008941
0.008510
0.008480
0.008156
0.008470
0.008820
0.008764
0.007932
0.009516
0.008825
0.009939
0.008362
0.010522
0.008390
0.008385
0.009747
0.008760
0.010133
0.011246
0.007775
0.009355
0.009129
0.008078
0.008655
0.012637
0.009774
0.008830
0.008529
0.007713
0.008943
0.008324
0.008629
0.007512
0.008534
0.008103
0.436260
0.009513
0.008886
0.009654
0.008699
0.013456
0.009383
0.011552
0.008301
0.023275
0.023274
0.008685
0.010802
0.009742
0.008024
0.008132
0.009290
0.009902
0.008329
0.007505
0.009509
0.008196
0.009173
0.009451
0.008904
0.008585
0.016226
0.008391
0.008901
0.009032
0.008895
0.010207
0.008080
0.009519
0.015567
0.009449
0.008243
0.008085
0.007687
0.008334
0.009834
0.007693
0.007874
0.008449
0.014647
0.008629
0.009369
0.008999
0.008340
0.010512
0.012541
